movement_threshold_km,n_pairs,n_individuals,median_distance_km,random_median_gain,random_pct_tuned_better,random_decision,distance_only_median_gain,distance_only_pct_tuned_better,distance_only_decision,season_shuffled_26wk_median_gain,season_shuffled_26wk_pct_tuned_better,season_shuffled_26wk_decision
1,71,6.0,155.99771504316234,1.0883080048661524,73.23943661971832,passes,-0.539323886408483,43.66197183098591,fails_or_neutral,0.936003549037692,67.6056338028169,passes
50,70,6.0,170.1129475634445,1.0893546362212372,74.28571428571429,passes,-0.5126037847613518,44.285714285714285,fails_or_neutral,1.013727679041299,68.57142857142857,passes
100,40,6.0,783.5305022344069,0.3966734807366765,60.0,passes,-0.5730555708944784,40.0,fails_or_neutral,3.364299203279129,72.5,passes
250,32,6.0,1027.1970906521728,-0.445897173094075,50.0,fails_or_neutral,-0.5478393503249612,43.75,fails_or_neutral,2.373429880400092,75.0,passes
500,26,6.0,1342.759909050374,-2.3500073908522454,46.15384615384615,fails_or_neutral,-0.5126037847613518,46.15384615384615,fails_or_neutral,1.669892298935093,76.92307692307693,passes
1000,18,6.0,3719.577951562862,-6.8593427004438,27.77777777777778,low_n,-1.4296688726015585,38.88888888888889,low_n,0.7120857704617021,72.22222222222221,low_n
1500,12,6.0,4739.400419360665,-8.253476338252295,8.333333333333332,low_n,-1.548816747063853,25.0,low_n,2.373429880400092,75.0,low_n
