species_model_name,ebird_code,n_nodes,n_known_overlap,known_overlap_rate,min_distance_to_poyang_center_km,median_distance_to_poyang_center_km,max_validation_score,max_conservation_score,region
Calidris tenuirostris,grekno,40,13,32.5,414.3326364011248,561.3172670998406,0.419499525288975,0.5243744066112187,east_china_coast
Limosa lapponica,batgod,36,13,36.11111111111111,417.3414006846541,579.6191053952036,0.4151875815588612,0.5189844769485765,east_china_coast
Numenius madagascariensis,faecur,33,13,39.39393939393939,433.1995528536991,592.6725930142437,0.2865573765596725,0.3581967206995906,east_china_coast
Calidris tenuirostris,grekno,57,12,21.052631578947366,312.0286679150767,532.7816174243593,0.4359972660282343,0.5449965825352929,yangtze_east_coast
Limosa lapponica,batgod,46,12,26.08695652173913,417.3414006846541,545.3853595858839,0.4334865516948334,0.5418581896185418,yangtze_east_coast
Numenius madagascariensis,faecur,39,12,30.76923076923077,433.1995528536991,556.9912411152967,0.2906061124319281,0.3632576405399101,yangtze_east_coast
