migration_season,movement_threshold_km,n_pairs,n_individuals,median_distance_km,random_median_gain,random_pct_tuned_better,random_decision,distance_only_median_gain,distance_only_pct_tuned_better,distance_only_decision,season_shuffled_26wk_median_gain,season_shuffled_26wk_pct_tuned_better,season_shuffled_26wk_decision
autumn_southward,1,18,3,58.64849646972813,1.2497202682401012,72.22222222222221,low_n,0.007593173644786,50.0,low_n,0.1954851780077145,66.66666666666666,low_n
autumn_southward,50,17,3,58.7180359430235,1.331246056378471,76.47058823529412,low_n,0.3637606068929111,52.94117647058824,low_n,0.2311350333660415,70.58823529411765,low_n
autumn_southward,100,7,3,1007.66959927667,1.1681944801017314,57.14285714285714,low_n,0.3637606068929111,57.14285714285714,low_n,0.1473232434995779,57.14285714285714,low_n
autumn_southward,250,6,3,1493.883809868479,0.0836243047361877,50.0,low_n,0.3915215208742904,66.66666666666666,low_n,0.1892291384328097,66.66666666666666,low_n
autumn_southward,500,5,2,1980.098020460288,-1.000945870629356,40.0,low_n,0.3637606068929111,60.0,low_n,0.1473232434995779,60.0,low_n
spring_northward,1,41,6,235.3963569470371,0.578037529825032,68.29268292682927,passes,-0.9410407824631708,39.02439024390244,fails_or_neutral,2.498526971974904,68.29268292682927,passes
spring_northward,50,41,6,235.3963569470371,0.578037529825032,68.29268292682927,passes,-0.9410407824631708,39.02439024390244,fails_or_neutral,2.498526971974904,68.29268292682927,passes
spring_northward,100,26,6,968.473800866392,0.1103182409411696,53.84615384615385,median_positive_weak,-1.3406287870279403,34.61538461538461,fails_or_neutral,4.427117410534461,76.92307692307693,passes
spring_northward,250,20,6,1342.759909050374,-3.831453830817761,40.0,fails_or_neutral,-1.3406287870279403,35.0,fails_or_neutral,3.364299203279129,80.0,passes
spring_northward,500,18,6,1554.7085640645228,-4.286390044560668,38.88888888888889,low_n,-1.3406287870279403,38.88888888888889,low_n,2.373429880400092,77.77777777777779,low_n
